,Store ID,Pop class,Sales,Centre Type,Climate,Total_Store_sft,Sales_Floor_sft,Store_Frontage_ft,Store_Length_ft,Guys Segmentation,Girls Segmentation,MSA Type,Food_away_from_home,Meals_at_restaurants,Food_on_out_of_town_trips,Population_Est,Transient_Pop_Est,Seasonal_Pop_Est,Eth_White,Eth_Black,Eth_Asian,Eth_Hispanic,Eth_Other,Male_Pop,Females_Pop,Age_Average,Edu_High_school,Edu_Some_college,Edu_Clg_Assoc_deg,Edu_Clg_Bach_deg,Enroll_High_School,Enr_College_Graduate_Professional,Unemployment_Rate,Households_Est,Median_Household_Income,Average_Household_Income,Householder_under_25_yrs,Householder_25_to_44_yrs,Family_Inc_Median,Family_Inc_Agg_Avg,Family_Inc_Avg,Per_Capita_Income,Wealth_Median_Household,Wealth_Average_Household,Poverty_Pop,Male_14_to_35,Female_14_to_35,Total_Pop_14_to_35,Under_25_Low_Income,Under_25_Med_Income,Under_25_High_Income,25_to_44_Low_Income,25_to_44_Med_Income,25_to_44_High_Income
113,449,Urban,733870.3300000001,Strip,Warm,4000,3538,40,100,On Trend,On Trend,5mile,23.35,21.28,2.07,52761,419,176,38519,9122,974,2831,1315,25731,27030,33.9,8629,7292,2532,6281,2525,9796,3.5,20148,42970,59851,2154,8176,56425,844608115,69248,23669,1523725,5678476,4046,10035,10344,20379,1217,814,125,2657,3592,1925
114,450,Urban,1039428.17,Mall,Warm,7554,6922,75,105,Fashion Forward,Fashion Forward,15min,24.65,22.52,2.13,105907,1193,14,39358,61057,1292,2504,1697,50060,55848,37.2,18655,17041,5925,8744,7120,11971,8.3,40257,40767,58026,1785,14357,48003,1700855306,63137,22479,3606804,13977110,9464,15983,16479,32462,1122,591,71,5488,5781,3086
115,451,Urban,1018651.32,Mall,Warm,6940,6211,83,121,Fashion Forward,Fashion Forward,15min,24.95,23.03,1.92,109424,1980,256,52764,51765,1227,2227,1441,52425,56999,37.1,23340,15620,3057,10938,5891,7912,6.7,42347,36073,55680,2398,13483,44195,1677818366,62309,22214,4673845,17420505,11622,17373,17208,34581,1565,709,124,5661,4820,3002
116,452,Urban,794545.4600000002,Mall,Cold,4262,3477,60,80,Fashion Forward,Fashion Forward,15min,30.16,27.55,2.62,139435,2013,203,108618,12321,7802,7135,3559,67479,71956,36.1,19297,14631,6135,26141,6699,24252,2.6,53109,65415,86827,5171,20032,89068,3204008389,99712,33740,5725225,18053923,7876,23563,25035,48598,3345,1474,351,3587,6927,9517
117,454,Urban,753107.1900000002,Strip,Warm,6309,5198,70,121,Fashion Forward,Fashion Forward,5mile,27.14,24.59,2.55,113018,2364,2437,81000,21457,1555,6532,2474,54915,58104,37.8,16156,15635,6619,19659,4284,16061,4.8,49171,48873,70146,4452,17690,65384,2128362317,82263,30863,4136560,13795859,9756,17334,17763,35097,2641,1419,393,5453,6534,5703
118,455,Urban,923611.7,Mall,Hot,6407,5922,51,144,Fashion Forward,Fashion Forward,15min,26.07,23.73,2.34,199323,2273,1094,140828,42536,3637,8572,3751,97758,101565,37.1,36142,26639,7574,30293,9859,16180,4.0,78803,57808,80817,4446,30635,71833,4332218804,87949,32434,7023987,22924542,12394,30748,30051,60799,2392,1562,491,6899,10439,13297
119,456,Urban,666550.5599999999,Strip,Hot,6119,5246,66,100,On Trend,On Trend,5mile,25.98,24.01,1.97,146146,1159,258,17772,1327,4665,121509,873,70350,75796,34.7,16495,19279,5929,20522,10040,14425,5.0,47433,54255,72460,2149,19170,59490,2677063104,73793,23629,3596355,12144622,10176,22827,22839,45666,1402,581,167,5793,6704,6673
120,458,Rural,875016.7900000002,Mall,Moderate,7645,6734,43,114,On Trend,On Trend,30min,27.07,24.6,2.46,185715,2021,1390,168551,6758,3883,3020,3503,94573,91142,38.4,41860,20732,7837,21604,6417,32228,5.2,76642,53651,73068,7949,25495,68168,3708813795,83656,30987,12148277,39158421,14820,33919,29780,63699,4826,2348,774,5781,9860,9854
121,459,Urban,987743.0599999997,Mall,Warm,8473,7515,148,60,Fashion Forward,Fashion Forward,15min,24.33,22.22,2.11,74893,766,282,39193,26760,1221,5616,2103,36616,38277,39.3,14418,12514,5523,7583,4129,5363,7.4,30034,41592,57940,1422,9399,52363,1271714155,64284,23740,2692048,9636350,5321,11234,9965,21199,740,628,55,3263,3901,2236
122,462,Urban,814893.32,Mall,Moderate,5500,4775,60,75,On Trend,On Trend,15min,24.11,22.0,2.11,62977,595,655,51806,2341,378,7174,1278,30686,32290,40.8,18155,7680,2972,4211,3678,2015,5.6,24806,40300,53363,1006,6951,48753,999287709,58125,21272,2654317,8869097,5201,8579,8012,16591,575,409,20,2458,2896,1597
123,464,Suburban,754164.6799999998,Strip,Frigid,6850,6089,54,150,On Trend,On Trend,5mile,25.5,23.03,2.47,31461,162,200,26415,2126,350,1818,753,16327,15134,41.6,7907,4484,2555,2717,1470,1283,3.5,12545,44865,59677,603,3842,58832,505855020,69274,25345,1946893,6295091,2333,4831,3689,8520,360,185,58,1122,1608,1111
124,465,Urban,1643511.58,Outlet,Warm,6802,6255,68,100,Fashion Forward,Fashion Forward,30min,23.56,21.37,2.19,883321,15597,2032,323594,482690,13846,49908,13283,424097,459224,37.5,172569,138880,38216,87604,50644,62220,6.5,335281,44255,65097,14947,120739,52448,14786884236,68187,25020,33016648,119841549,67035,133317,130626,263943,9098,4738,1109,41137,46277,33324
125,466,Urban,891753.8999999999,Strip,Warm,4800,3950,60,80,Fashion Forward,Fashion Forward,5mile,25.95,23.55,2.4,52501,678,360,14421,31143,948,4668,1321,24524,27977,36.9,10400,6863,3122,5867,3676,3715,6.0,19055,51224,63769,666,6833,56651,948121344,68585,23265,1350555,4683792,3062,7766,7628,15394,317,267,83,2206,2964,1664
126,468,Urban,975883.85,Mall,Cold,6444,5364,49,121,On Trend,On Trend,15min,24.97,22.72,2.25,87966,1044,2288,67462,3999,2400,12049,2056,41889,46077,34.9,13203,8290,3225,9767,3270,21897,3.0,30634,52319,70746,3690,10318,66580,1466556755,80218,25637,2771123,9514266,5670,17736,20552,38288,2295,1003,392,1959,5064,3294
127,469,Urban,968886.48,Strip,Warm,7013,6291,50,146,Fashion Forward,Fashion Forward,5mile,24.46,22.19,2.28,191503,3851,463,78428,84969,8147,12800,7158,91094,100409,37.8,35712,34446,11680,18638,8434,19472,4.2,73471,51997,66057,3868,27779,60008,3448004094,70290,25614,8516257,29440920,11199,27259,27775,55034,1516,1805,546,6842,12567,8368
128,470,Urban,1400985.79,Outlet,Warm,5945,5254,73,82,Fashion Forward,Fashion Forward,30min,27.34,24.7,2.64,670626,12134,10646,436965,164564,12252,39451,17396,326714,343913,38.0,108627,93913,41597,103364,34127,51536,3.1,263370,62349,84066,10810,100719,73957,15378332479,88948,33338,23521370,73939568,33447,95268,91799,187067,4881,4760,1170,19857,37063,43799
129,471,Suburban,1502449.18,Outlet,Frigid,7123,5755,64,120,On Trend,On Trend,45min,26.07,23.51,2.56,255150,22683,25635,226947,7017,4907,10553,5726,128531,126618,41.2,56814,38714,20292,32578,13593,11760,2.7,102502,62300,76938,3431,31929,74545,5865846671,85674,31391,12639655,37360175,9333,34225,31360,65585,1502,1601,328,4738,12117,15073
130,472,Suburban,700992.8499999997,Strip,Moderate,6000,5176,51,118,On Trend,On Trend,5mile,21.29,19.33,1.95,43715,868,259,37752,1387,797,2909,871,21832,21883,37.0,9679,4817,1380,4947,1675,7646,4.8,17934,36117,55376,2303,6108,48991,650871845,64874,23111,1164284,4432100,4898,8556,7443,15999,1782,461,62,2344,2405,1359
131,473,Urban,945404.0499999997,Mall,Cold,9116,6453,68,136,On Trend,On Trend,15min,26.53,24.13,2.4,58057,900,291,40851,1023,646,14553,984,28981,29077,38.5,11686,9000,3286,5122,3270,1939,5.1,22049,54118,69204,1499,7498,61005,1074134124,74155,26686,2810574,9390229,2894,8316,7860,16176,697,675,126,1864,3135,2499
